"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","2023-01-06","1","Surface Water","1.8","0.52","4.2","77","6.2","440","640","0.85","0.082","0.079","7.8","4.9","23.3","1.2","1.9","30","19","1.45","0.78","1.71","0.17","18.8","0.009","5.4"
"Deep Bay","DM1","2023-02-08","1","Surface Water","1.1","0.41","4.5","66","5.2","390","590","1.2","0.082","0.12","7.5","5.7","22.9","0.9","2.6","61","20","1.69","0.92","2.2","0.21","52.2","0.005","6.6"
"Deep Bay","DM1","2023-03-13","1","Surface Water","1.3","0.17","6","65","5","24","44","0.62","0.043","0.069","7.3","6.5","23","1.1","3.6","50","21.1","0.83","0.58","1.24","0.2","45.8","0.001","5.1"
"Deep Bay","DM1","2023-04-12","1","Surface Water","0.7","0.59","1.7","69","5.2","150","330","0.92","0.12","0.15","7.1","1.9","19.4","1.6","7","23","23.9","1.63","0.91","1.95","0.24","19","0.004","4.1"
"Deep Bay","DM1","2023-05-10","1","Surface Water","0.5","0.3","2.8","67","4.9","340","1100","0.91","0.061","0.097","7.4","3.5","20.4","1.2","2.3","19","25.2","1.27","0.79","1.76","0.14","17.1","0.004","2.8"
"Deep Bay","DM1","2023-06-07","1","Surface Water","1","0.27","4.6","112","7.7","630","900","0.58","0.075","0.14","7.7","4.9","16.1","1.6","3.2","32","30.4","0.93","0.76","1.42","0.19","23.1","0.012","5.4"
"Deep Bay","DM1","2023-07-06","1","Surface Water","1.3","0.29","2.9","54","3.8","390","750","1.1","0.35","0.13","7.5","2.7","9.7","1.1","6.7","27","30.8","1.74","0.69","2.14","0.22","32.3","0.007","3.2"
"Deep Bay","DM1","2023-08-04","1","Surface Water","1","0.37","3.7","55","3.7","56","110","0.69","0.14","0.12","7.4","3.5","16.7","1.1","7","23","31.7","1.2","0.7","1.53","0.19","24.1","0.008","3.4"
"Deep Bay","DM1","2023-09-16","1","Surface Water","0.6","0.81","2.1","56","4.1","3300","10000","0.83","0.18","0.13","7.1","2.6","10.4","1.1","10","15","28.9","1.82","0.98","1.99","0.14","25.1","0.007","2.2"
"Deep Bay","DM1","2023-10-14","1","Surface Water","0.8","0.5","3","66","4.7","410","900","0.6","0.096","0.15","7.3","1.8","19.2","0.9","8","20","27.4","1.2","0.84","1.54","0.21","31.4","0.006","2.2"
"Deep Bay","DM1","2023-11-13","1","Surface Water","0.5","0.2","2.2","80","6","170","400","1","0.098","0.12","7.5","0.3","20.9","1.1","6.8","16","24.2","1.3","0.4","1.5","0.19","31.3","0.003","2"
"Deep Bay","DM1","2023-12-13","1","Surface Water","0.9","0.33","3.8","75","5.6","1400","2900","1.3","0.085","0.17","7.6","1.7","21.2","1","5.4","24","24","1.72","0.78","2.17","0.27","6","0.005","4.1"
"Deep Bay","DM2","2023-01-06","1","Surface Water","2.5","0.27","8.3","87","6.9","100","190","0.63","0.061","0.049","7.6","9","25.5","1.5","1","34","19","0.96","0.61","1.3","0.16","20.3","0.003","6.3"
"Deep Bay","DM2","2023-02-08","1","Surface Water","0.8","0.24","4.7","75","5.9","100","200","0.81","0.052","0.099","7.3","7.5","24.4","1.1","1.5","72","20","1.1","0.84","1.7","0.2","55.7","0.002","8.7"
"Deep Bay","DM2","2023-03-13","1","Surface Water","1.2","0.1","7.3","64","5","21","40","0.59","0.035","0.057","6.8","8.4","22.4","1","3.5","72","21","0.73","0.53","1.16","0.21","53.7","<0.001","6.4"
"Deep Bay","DM2","2023-04-12","1","Surface Water","0.7","0.4","1.8","71","5.3","72","130","0.72","0.087","0.13","6.9","2.4","21.3","1.4","5.9","30","23.7","1.21","0.69","1.5","0.2","19","0.002","5.2"
"Deep Bay","DM2","2023-05-10","1","Surface Water","0.1","0.26","3.3","68","4.9","860","1400","0.92","0.049","0.07","7.2","3.6","21.1","1.1","2","20","25.2","1.23","0.79","1.76","0.14","16.6","0.002","2.4"
"Deep Bay","DM2","2023-06-07","1","Surface Water","1.3","0.29","13","111","7.6","80000","220000","0.85","0.097","0.13","7.8","3.7","17.3","1.2","3.3","15","30","1.24","0.8","1.75","0.14","17.2","0.016","3.2"
"Deep Bay","DM2","2023-07-06","1","Surface Water","0.9","0.17","2.8","56","3.9","520","1200","1.1","0.28","0.11","7.5","2.9","11.5","0.8","6.1","32","30.6","1.55","0.51","1.89","0.19","35.5","0.004","3.7"
"Deep Bay","DM2","2023-08-04","1","Surface Water","0.8","0.3","3.9","55","3.7","85","98","0.69","0.11","0.13","7.5","3.7","18.5","0.8","6.5","31","31.4","1.1","0.56","1.36","0.16","32","0.007","4.2"
"Deep Bay","DM2","2023-09-16","1","Surface Water","0.8","0.86","1.4","63","4.6","17000","38000","1","0.18","0.12","7.1","0.6","12.8","1","11","23","28.3","2.04","1","2.18","0.14","30.1","0.007","3.6"
"Deep Bay","DM2","2023-10-14","1","Surface Water","1.2","0.29","5.7","73","5.1","650","880","0.25","0.06","0.32","7.5","5.3","23.4","1","4.1","52","27.4","0.6","0.66","0.97","0.35","30.1","0.005","7.8"
"Deep Bay","DM2","2023-11-13","1","Surface Water","0.4","0.13","4.3","78","5.7","180","430","0.91","0.062","0.12","7.6","1.6","22.7","1","5.1","18","24.7","1.1","0.31","1.28","0.17","31.3","0.002","2"
"Deep Bay","DM2","2023-12-13","1","Surface Water","0.8","0.076","9.1","82","6","90","220","0.7","0.051","0.089","7.8","3.3","24.7","1.1","3.1","27","23.9","0.83","0.4","1.15","0.21","7.2","0.002","4.2"
"Deep Bay","DM3","2023-01-06","1","Surface Water","2","0.088","6.1","94","7.4","12","25","0.34","0.039","0.006","7.7","4.2","29.7","1.4","0.29","12","18.5","0.47","0.45","0.83","0.09","10.6","0.001","2.6"
"Deep Bay","DM3","2023-02-08","1","Surface Water","1.2","0.067","6.2","98","7.6","8","11","0.33","0.016","0.015","7.7","4.3","28.9","1.4","0.26","19","19.6","0.41","0.67","1.02","0.09","10","0.001","3.8"
"Deep Bay","DM3","2023-03-13","1","Surface Water","0.9","0.065","2.7","84","6.4","3","9","0.46","0.02","0.011","7.1","1.2","27.3","1.4","1.4","15","21.4","0.55","0.25","0.73","0.08","12.5","<0.001","1.6"
"Deep Bay","DM3","2023-04-12","1","Surface Water","0.4","0.2","1.1","86","6.5","3","3","0.59","0.067","0.024","7.1","0.3","20","2","3.9","7.8","24","0.86","0.41","1.07","0.08","2.7","0.001","1.9"
"Deep Bay","DM3","2023-05-10","1","Surface Water","1.4","0.15","1.2","73","5.2","51","110","0.46","0.029","0.032","7.3","1","24.4","1.6","2.1","8.7","25.4","0.64","0.61","1.1","0.07","8.1","0.002","1.2"
"Deep Bay","DM3","2023-06-07","1","Surface Water","0.5","0.1","1.7","113","7.6","80","90","0.54","0.078","0.052","7.9","2.7","21.3","1.5","3","17","29.6","0.72","0.48","1.1","0.09","13.8","0.005","2.2"
"Deep Bay","DM3","2023-07-06","1","Surface Water","0.5","0.038","1.2","65","4.6","85","190","1.1","0.17","0.068","7.6","1.1","14.1","1","5.5","18","30","1.31","0.34","1.61","0.1","15.4","0.001","2.3"
"Deep Bay","DM3","2023-08-04","1","Surface Water","0.2","0.17","2","64","4.2","13","20","0.6","0.1","0.063","7.6","1.6","21.8","1.2","4.3","12","31.1","0.87","0.38","1.08","0.1","13.9","0.005","1.7"
"Deep Bay","DM3","2023-09-16","1","Surface Water","0.6","0.28","1.3","65","4.6","3400","11000","0.68","0.15","0.091","7.3","0.3","18","1.2","7.5","9.2","28.1","1.11","0.44","1.27","0.12","15.8","0.003","1.6"
"Deep Bay","DM3","2023-10-14","1","Surface Water","0.3","0.16","2.7","78","5.3","6","9","0.18","0.034","0.066","7.7","1.5","26.3","1.6","2.1","5.8","27.5","0.37","0.32","0.53","0.13","21.4","0.004","1"
"Deep Bay","DM3","2023-11-13","1","Surface Water","0.2","0.077","1.3","84","6","31","69","0.77","0.051","0.087","7.6","<0.2","25.1","1.4","4.1","7.6","25.2","0.9","0.19","1.01","0.17","22.4","0.001","1"
"Deep Bay","DM3","2023-12-13","1","Surface Water","0.6","0.031","3.7","93","6.7","18","35","0.44","0.052","0.055","7.9","2","27.5","1.4","2.1","10","24.1","0.52","0.24","0.73","0.14","2.4","<0.001","2"
"Deep Bay","DM4","2023-01-06","1","Surface Water","1","0.062","3.6","89","6.9","1","2","0.17","0.044","<0.002","7.6","1.6","31.6","2","0.31","12","18.8","0.28","0.56","0.77","0.06","6","<0.001","2.5"
"Deep Bay","DM4","2023-01-06","1","Bottom Water","0.9","0.064","3.6","100","7.7","4","6","0.14","0.045","0.007","7.5","1.5","31.9","2","0.37","10","18.5","0.25","0.57","0.76","0.06","6.2","<0.001","2.5"
"Deep Bay","DM4","2023-02-08","1","Surface Water","0.4","0.051","2.9","102","8","2","6","0.29","0.015","<0.002","7.6","1.8","29.6","1.9","0.16","13","18.9","0.36","0.47","0.78","0.05","4.5","<0.001","2.6"
"Deep Bay","DM4","2023-02-08","1","Bottom Water","0.6","0.063","2.2","111","8.6","3","5","0.29","0.016","0.008","7.6","2.1","29.6","1.9","<0.05","8.6","18.9","0.37","0.65","0.96","0.06","5.3","<0.001","2.4"
"Deep Bay","DM4","2023-03-13","1","Surface Water","0.8","0.1","2.1","81","6.1","38","47","0.44","0.02","0.003","7.1","0.7","27.9","1.9","1.3","4.4","21.2","0.56","0.22","0.68","0.07","4.9","<0.001","<0.5"
"Deep Bay","DM4","2023-03-13","1","Bottom Water","0.6","0.11","1.4","83","6.2","1","7","0.36","0.019","0.022","7","1.2","28.7","1.9","1.3","10","21.2","0.49","0.32","0.7","0.07","9.8","<0.001","1.1"
"Deep Bay","DM4","2023-04-12","1","Surface Water","0.3","0.18","1","73","5.5","<1","1","0.57","0.063","0.02","7.1","<0.2","23.1","2.1","3.5","3.2","23.4","0.81","0.35","0.98","0.08","2.8","<0.001","0.9"
"Deep Bay","DM4","2023-04-12","1","Bottom Water","0.3","0.18","0.3","81","6","1","3","0.48","0.055","0.017","7.1","0.4","25.2","2.1","3.1","5.7","22.9","0.72","0.37","0.91","0.08","4.1","<0.001","1"
"Deep Bay","DM4","2023-05-10","1","Surface Water","<0.1","0.12","1","70","5","45","90","0.44","0.027","0.014","7.4","1.1","24.8","1.7","2.1","2.5","25.4","0.59","0.46","0.93","0.05","3.1","0.001","1"
"Deep Bay","DM4","2023-05-10","1","Bottom Water","<0.1","0.12","1.1","82","5.8","28","74","0.44","0.027","0.022","7.4","0.9","26.8","1.7","2.1","5.4","25.4","0.59","0.65","1.12","0.06","4","0.001","1.4"
"Deep Bay","DM4","2023-06-07","1","Surface Water","0.4","0.07","1.2","109","7.3","16","39","0.55","0.09","0.032","7.9","1.3","22.8","1.4","3.1","12","29.7","0.71","0.39","1.03","0.05","6.4","0.004","2"
"Deep Bay","DM4","2023-06-07","1","Bottom Water","0.5","0.086","1.3","133","9","76","170","0.54","0.085","0.035","7.9","1.2","22.9","1.4","3","9.4","29.6","0.71","0.54","1.17","0.07","7.8","0.004","1.4"
"Deep Bay","DM4","2023-07-06","1","Surface Water","0.2","0.016","1","57","4","130","360","1.1","0.14","0.04","7.7","1.6","15.1","1.3","5.4","18","29.2","1.26","0.28","1.52","0.08","14.2","<0.001","3"
"Deep Bay","DM4","2023-07-06","1","Bottom Water","0.4","0.019","1.2","67","4.7","270","440","1.1","0.13","0.043","7.7","1","15.8","1.3","5.3","18","29","1.25","0.3","1.53","0.07","21.5","<0.001","2"
"Deep Bay","DM4","2023-08-04","1","Surface Water","0.3","0.12","1","63","4.1","<1","2","0.5","0.11","0.043","7.7","0.9","22.7","1.4","3.5","10","31.1","0.73","0.26","0.87","0.07","7.8","0.005","2.4"
"Deep Bay","DM4","2023-08-04","1","Bottom Water","0.2","0.12","1.6","66","4.3","3","7","0.6","0.11","0.043","7.7","1.5","22.6","1.4","3.5","18","30.6","0.83","0.25","0.96","0.07","11.7","0.004","2.9"
"Deep Bay","DM4","2023-09-16","1","Surface Water","0.6","0.14","1.2","62","4.3","290","850","0.62","0.14","0.065","7.4","0.2","20","1.5","5.9","5","28.1","0.9","0.28","1.04","0.1","8.2","0.002","0.7"
"Deep Bay","DM4","2023-09-16","1","Bottom Water","0.4","0.13","1.2","70","4.9","490","1000","0.59","0.14","0.067","7.4","0.6","20.7","1.5","5.5","8.2","28","0.86","0.31","1.04","0.1","11","0.002","2"
"Deep Bay","DM4","2023-10-14","1","Surface Water","0.8","0.095","3.1","78","5.2","2","4","0.097","0.021","0.038","7.7","1.3","28.4","2","1.7","3.9","27.7","0.21","0.26","0.38","0.1","11.4","0.003","0.8"
"Deep Bay","DM4","2023-10-14","1","Bottom Water","0.6","0.098","2.7","90","6.1","1","8","0.089","0.021","0.037","7.7","0.5","28.7","2","1.6","4.8","27.4","0.21","0.33","0.44","0.1","10.2","0.003","0.6"
"Deep Bay","DM4","2023-11-13","1","Surface Water","0.2","0.07","1.3","71","4.9","2","11","0.44","0.045","0.048","7.5","0.4","27.4","1.6","2.1","7.2","25.6","0.56","0.17","0.66","0.08","11.4","0.001","0.9"
"Deep Bay","DM4","2023-11-13","1","Bottom Water","<0.1","0.067","1.7","85","5.9","5","12","0.46","0.043","0.045","7.6","1","27.8","1.6","2.1","7.6","25.7","0.57","0.16","0.66","0.08","10.3","0.001","0.7"
"Deep Bay","DM4","2023-12-13","1","Surface Water","0.4","0.058","3.5","90","6.4","2","6","0.38","0.071","0.027","7.9","0.6","29","1.3","1.7","10","24.1","0.51","0.27","0.72","0.14","2.2","0.002","2.4"
"Deep Bay","DM4","2023-12-13","1","Bottom Water","0.5","0.064","2.9","88","6.3","9","14","0.39","0.074","0.018","7.9","1.2","29.2","1.3","1.7","9","24","0.53","0.15","0.61","0.16","2.7","0.002","2"
"Deep Bay","DM5","2023-01-06","1","Surface Water","0.6","0.077","0.8","76","5.9","6","6","0.16","0.053","0.017","7.4","0.3","32.5","1.8","1","11","18.7","0.29","0.52","0.73","0.07","5","<0.001","2.3"
"Deep Bay","DM5","2023-01-06","1","Middle Water","0.8","0.088","1.1","92","7.1","19","26","0.16","0.052","0.011","7.4","0.6","32.6","1.8","0.92","11","18.4","0.3","0.48","0.69","0.07","4.8","<0.001","2.6"
"Deep Bay","DM5","2023-01-06","1","Bottom Water","0.4","0.088","1","91","7","9","21","0.16","0.054","0.014","7.4","0.2","32.7","1.8","0.95","10","18.4","0.3","0.73","0.94","0.07","4.2","<0.001","2.4"
"Deep Bay","DM5","2023-02-08","1","Surface Water","0.7","0.056","3","110","8.6","<1","1","0.3","0.017","0.008","7.6","1.2","29.7","3.6","<0.05","7.2","18.7","0.37","0.58","0.9","0.04","1.5","<0.001","2.2"
"Deep Bay","DM5","2023-02-08","1","Middle Water","0.6","0.05","3.5","125","9.8","1","2","0.3","0.017","0.005","7.6","0.7","30.2","3.6","0.12","7.2","18.5","0.37","0.57","0.89","0.05","1.9","<0.001","2.2"
"Deep Bay","DM5","2023-02-08","1","Bottom Water","0.9","0.054","4.6","127","9.9","5","9","0.27","0.015","<0.002","7.6","0.9","30.4","3.6","<0.05","7.4","18.5","0.34","0.54","0.83","0.05","2.2","<0.001","2.2"
"Deep Bay","DM5","2023-03-13","1","Surface Water","0.6","0.12","0.8","89","6.7","3","7","0.33","0.018","0.014","7.1","<0.2","30.1","2.4","1","4.3","20.9","0.47","0.29","0.64","0.06","3.9","<0.001","0.9"
"Deep Bay","DM5","2023-03-13","1","Middle Water","0.4","0.12","0.8","86","6.5","8","22","0.33","0.018","0.006","7.1","0.2","30.4","2.4","1","4.7","20.9","0.47","0.35","0.7","0.07","3.9","<0.001","0.8"
"Deep Bay","DM5","2023-03-13","1","Bottom Water","0.4","0.13","0.9","85","6.4","16","26","0.31","0.017","0.018","7.1","0.4","30.6","2.4","0.92","4.9","20.8","0.46","0.5","0.83","0.06","5.4","<0.001","0.7"
"Deep Bay","DM5","2023-04-12","1","Surface Water","0.4","0.16","0.7","75","5.6","1","2","0.43","0.053","0.037","7.1","<0.2","25.3","2.1","2.3","5","22.9","0.64","0.32","0.8","0.07","3.1","<0.001","1.3"
"Deep Bay","DM5","2023-04-12","1","Middle Water","0.2","0.16","0.5","83","6.2","8","16","0.43","0.049","0.012","7.1","0.4","26.6","2.1","2.7","4.3","22.7","0.64","0.3","0.78","0.07","2.8","<0.001","1.1"
"Deep Bay","DM5","2023-04-12","1","Bottom Water","0.1","0.17","0.3","83","6.1","24","34","0.37","0.042","0.014","7.1","0.3","28.9","2.1","2.3","4.4","22.5","0.58","0.31","0.72","0.08","3.8","<0.001","1"
"Deep Bay","DM5","2023-05-10","1","Surface Water","<0.1","0.094","1.7","83","5.8","6","23","0.46","0.019","0.006","7.4","1","27.4","1.8","1.4","2.6","25.3","0.57","0.63","1.11","0.05","3.6","0.001","1"
"Deep Bay","DM5","2023-05-10","1","Middle Water","<0.1","0.098","1.3","87","6.1","10","20","0.46","0.019","0.007","7.4","1.3","28.3","1.8","1.4","2.8","25.2","0.58","0.59","1.07","0.04","3.1","0.001","1.2"
"Deep Bay","DM5","2023-05-10","1","Bottom Water","<0.1","0.099","1.1","82","5.7","11","31","0.42","0.017","0.004","7.4","1.1","28.8","1.8","1.3","6","25.3","0.54","0.63","1.07","0.05","4.6","0.001","1.4"
"Deep Bay","DM5","2023-06-07","1","Surface Water","0.5","0.065","1.5","110","7.4","2","8","0.43","0.065","0.024","8","1.1","24.3","1.8","2.1","6","29.3","0.56","0.43","0.93","0.05","6.1","0.004","1.1"
"Deep Bay","DM5","2023-06-07","1","Middle Water","0.3","0.079","1.3","144","9.7","24","50","0.44","0.061","0.023","7.9","0.8","24.8","1.8","2","6.2","29.1","0.58","0.49","0.99","0.06","6.7","0.004","1"
"Deep Bay","DM5","2023-06-07","1","Bottom Water","0.3","0.084","1","177","11.8","29","57","0.43","0.057","0.022","7.9","1.1","25.2","1.8","2.1","7.8","28.9","0.57","0.58","1.07","0.05","8","0.004","1.1"
"Deep Bay","DM5","2023-07-06","1","Surface Water","0.4","0.009","2.1","70","4.9","51","79","1","0.1","0.035","7.8","0.7","16.6","1.5","5","8.9","29.2","1.11","0.29","1.39","0.05","10.5","<0.001","1.6"
"Deep Bay","DM5","2023-07-06","1","Middle Water","0.4","0.012","2.9","75","5.2","90","110","1","0.11","0.033","7.8","<0.2","17.8","1.5","4.7","8.7","28.8","1.12","0.3","1.41","0.06","9.3","<0.001","1.5"
"Deep Bay","DM5","2023-07-06","1","Bottom Water","0.3","0.01","1.6","64","4.5","150","210","0.95","0.11","0.033","7.8","0.6","19.9","1.5","4.6","8.2","28.1","1.07","0.38","1.44","0.05","9.2","<0.001","2"
"Deep Bay","DM5","2023-08-04","1","Surface Water","0.7","0.14","3.1","91","6","2","2","0.44","0.095","0.021","7.8","2.6","24.8","1.7","3","6","30.2","0.68","0.27","0.81","0.06","6.6","0.006","1.2"
"Deep Bay","DM5","2023-08-04","1","Middle Water","0.2","0.078","1.9","71","4.7","<1","1","0.45","0.091","0.025","7.9","1.1","25.3","1.7","2.9","6.7","30","0.62","0.23","0.77","0.06","9","0.004","1.3"
"Deep Bay","DM5","2023-08-04","1","Bottom Water","0.3","0.079","1.8","67","4.4","5","6","0.49","0.091","0.023","7.8","1.5","25.9","1.7","3.1","16","29.6","0.66","0.21","0.79","0.05","6.9","0.003","2.5"
"Deep Bay","DM5","2023-09-16","1","Surface Water","0.3","0.051","1.1","65","4.6","64","170","0.57","0.15","0.042","7.5","0.7","20.9","1.6","4.2","6","27.7","0.77","0.16","0.88","0.08","6.5","0.001","1.3"
"Deep Bay","DM5","2023-09-16","1","Middle Water","0.5","0.046","0.6","74","5.2","59","100","0.52","0.15","0.042","7.5","0.3","22.7","1.6","4.3","7.6","27.5","0.72","0.18","0.85","0.08","7.2","<0.001","1.2"
"Deep Bay","DM5","2023-09-16","1","Bottom Water","0.3","0.04","0.8","71","4.9","63","80","0.54","0.16","0.04","7.6","0.5","23.7","1.6","4.2","4.5","27.4","0.74","0.17","0.87","0.08","8.9","<0.001","1.4"
"Deep Bay","DM5","2023-10-14","1","Surface Water","0.4","0.07","2.4","80","5.3","1","1","0.029","0.018","0.019","7.8","0.8","30.5","2.4","1.1","5.2","27.7","0.12","0.2","0.25","0.08","5.4","0.003","1"
"Deep Bay","DM5","2023-10-14","1","Middle Water","0.6","0.076","2.2","88","5.9","<1","5","0.027","0.015","0.017","7.8","0.7","30.7","2.4","1.1","7.7","27.7","0.12","0.22","0.26","0.08","6.6","0.003","1.2"
"Deep Bay","DM5","2023-10-14","1","Bottom Water","0.3","0.082","3.1","84","5.6","4","12","0.019","0.014","0.017","7.8","<0.2","30.9","2.4","1.1","6.8","27.5","0.12","0.28","0.31","0.07","8.3","0.003","0.8"
"Deep Bay","DM5","2023-11-13","1","Surface Water","0.2","0.07","1.7","71","4.9","9","23","0.26","0.03","0.02","7.7","<0.2","30","1.6","1.1","5.5","26.1","0.36","0.15","0.44","0.08","5.5","0.002","0.8"
"Deep Bay","DM5","2023-11-13","1","Middle Water","<0.1","0.07","1.1","88","6","36","78","0.23","0.029","0.021","7.7","0.2","30.5","1.6","0.96","6.5","26.2","0.33","0.14","0.4","0.06","6.4","0.002","1.3"
"Deep Bay","DM5","2023-11-13","1","Bottom Water","<0.1","0.072","1.3","86","5.9","22","64","0.22","0.028","0.02","7.7","0.6","30.5","1.6","0.82","5.9","26.2","0.32","0.13","0.38","0.05","7.3","0.002","0.8"
"Deep Bay","DM5","2023-12-13","1","Surface Water","0.5","0.068","1.3","65","4.6","22","49","0.32","0.073","0.009","7.9","<0.2","29.9","1.6","1.7","6.2","23.7","0.46","0.18","0.57","0.08","1.3","0.002","1.5"
"Deep Bay","DM5","2023-12-13","1","Middle Water","0.4","0.063","0.8","89","6.3","17","38","0.26","0.064","0.011","7.9","<0.2","30.4","1.6","1.5","5.2","23.8","0.39","0.19","0.51","0.07","1.3","0.002","1.2"
"Deep Bay","DM5","2023-12-13","1","Bottom Water","0.5","0.062","1.1","89","6.3","34","82","0.3","0.078","0.007","7.9","<0.2","30.5","1.6","1.5","5.6","23.8","0.44","0.17","0.55","0.08","1.5","0.002","1"
"Eastern Buffer","EM1","2023-01-15","1","Surface Water","<0.1","0.13","0.5","74","5.7","180","530","0.21","0.027","0.017","7.3","0.3","32.6","2.5","1.5","1.8","18.6","0.37","0.49","0.73","0.09","1.1","<0.001","<0.5"
"Eastern Buffer","EM1","2023-01-15","1","Middle Water","<0.1","0.14","0.7","85","6.6","140","390","0.19","0.027","0.018","7.3","<0.2","32.6","2.5","1.4","1.8","18.5","0.36","0.48","0.7","0.08","1.1","<0.001","0.6"
"Eastern Buffer","EM1","2023-01-15","1","Bottom Water","<0.1","0.089","0.4","88","6.8","200","370","0.19","0.023","0.021","7.3","0.3","32.7","2.5","1.4","2.2","18.2","0.3","0.55","0.76","0.08","2.4","<0.001","0.6"
"Eastern Buffer","EM1","2023-02-09","1","Surface Water","1.1","0.04","4.7","89","6.9","230","360","0.048","0.005","0.017","7.4","1","33.1","3.6","0.19","9.4","17.8","0.09","0.12","0.17","0.04","0.5","<0.001","2.4"
"Eastern Buffer","EM1","2023-02-09","1","Middle Water","1.1","0.044","4.9","102","7.9","230","280","0.046","0.005","<0.002","7.4","1.6","33.2","3.6","0.14","5.6","17.9","0.1","0.24","0.29","0.07","1.2","<0.001","1.8"
"Eastern Buffer","EM1","2023-02-09","1","Bottom Water","1.1","0.045","4.1","102","7.9","240","340","0.044","0.005","0.015","7.4","1.6","33.3","3.6","0.23","8.2","17.9","0.09","0.21","0.26","0.07","1.5","<0.001","2.2"
"Eastern Buffer","EM1","2023-03-02","1","Surface Water","0.5","0.049","1.2","94","7.1","3","3","0.063","0.011","0.015","7.3","0.3","33.6","3.6","0.66","3.6","18.8","0.12","0.37","0.44","0.05","1.6","<0.001","<0.5"
"Eastern Buffer","EM1","2023-03-02","1","Middle Water","0.6","0.039","1","95","7.2","14","18","0.006","0.01","<0.002","7.3","0.2","33.6","3.6","0.67","5.9","18.6","0.06","0.46","0.48","0.06","1.3","<0.001","1.1"
"Eastern Buffer","EM1","2023-03-02","1","Bottom Water","0.7","0.038","0.8","93","7.2","16","19","0.06","0.011","0.008","7.3","0.7","33.6","3.6","0.67","3","18.4","0.11","0.63","0.7","0.05","1.9","<0.001","1.2"
"Eastern Buffer","EM1","2023-04-22","1","Surface Water","0.1","0.078","1","87","6.1","30","67","0.077","0.007","<0.002","7.1","<0.2","33.3","2.3","0.34","2.5","23.2","0.16","0.33","0.41","0.04","2.1","<0.001","1.2"
"Eastern Buffer","EM1","2023-04-22","1","Middle Water","<0.1","0.061","0.6","89","6.3","31","80","0.032","0.003","<0.002","7.1","0.6","33.7","2.3","0.3","2.4","23.1","0.1","0.19","0.23","0.03","2.3","<0.001","0.7"
"Eastern Buffer","EM1","2023-04-22","1","Bottom Water","<0.1","0.06","0.9","89","6.3","45","75","0.019","<0.002","<0.002","7.1","<0.2","33.7","2.3","0.09","3.1","23.1","0.08","0.22","0.24","0.03","2.3","<0.001","1.4"
"Eastern Buffer","EM1","2023-05-08","1","Surface Water","0.5","0.14","0.6","74","5.2","660","1600","0.12","0.011","0.011","7.4","0.4","32.9","3.2","0.51","3","24","0.27","0.56","0.69","0.05","2.2","0.001","<0.5"
"Eastern Buffer","EM1","2023-05-08","1","Middle Water","0.3","0.097","<0.2","84","5.8","360","660","0.1","0.01","<0.002","7.4","0.4","33.2","3.2","0.43","3.7","24.4","0.21","0.81","0.92","0.05","1.5","0.001","0.8"
"Eastern Buffer","EM1","2023-05-08","1","Bottom Water","0.4","0.06","<0.2","87","6","170","450","0.055","0.01","0.048","7.4","<0.2","33.7","3.2","0.4","5.4","24.2","0.13","0.72","0.79","0.05","2.2","<0.001","0.9"
"Eastern Buffer","EM1","2023-06-05","1","Surface Water","0.8","0.054","10","110","7.3","170","710","0.082","0.024","<0.002","8.1","0.3","32.3","2.8","0.39","3.4","27.1","0.16","0.67","0.78","0.07","22.4","0.003","1"
"Eastern Buffer","EM1","2023-06-05","1","Middle Water","0.5","0.014","5.4","142","9.5","260","1100","0.07","0.007","<0.002","8","0.9","32.8","2.8","0.08","4","26.3","0.09","0.67","0.75","0.05","4.5","<0.001","1.2"
"Eastern Buffer","EM1","2023-06-05","1","Bottom Water","0.4","0.044","4.8","74","5","470","800","0.062","0.031","0.047","8","<0.2","33","2.8","0.56","5.7","26.1","0.14","0.66","0.75","0.07","4.6","0.002","1"
"Eastern Buffer","EM1","2023-07-03","1","Surface Water","0.7","0.1","5.4","111","7.6","360","1200","0.29","0.054","0.01","7.9","1.6","28.9","2.1","1.4","5.3","26.5","0.44","0.44","0.78","0.05","3.4","0.004","2.3"
"Eastern Buffer","EM1","2023-07-03","1","Middle Water","0.3","0.06","2.1","183","12.7","220","320","0.18","0.041","0.014","7.8","1.5","32.5","2.1","1.2","5.4","24.3","0.28","0.92","1.14","0.05","5.8","0.002","1"
